Date,Bytes
2009-09-09,253343
2009-10-07,103183
2010-05-21,276269
2012-05-04,1679577
2013-06-12,1331505
2010-10-16,1683551
2009-09-05,222719
2010-11-02,194535
2008-09-10,138827
2013-01-05,1608916
2008-11-19,100487
2009-11-17,299876
2011-12-09,634176
2012-12-30,364227
2010-03-22,86535
2009-01-27,528376
2012-04-05,461158
2013-06-24,149603
2009-12-16,149954
2010-01-29,339811
2009-10-01,174568
2008-08-06,172343
2012-03-05,93852
2008-11-12,145548
2011-07-28,180300
2009-03-06,186092
2009-02-27,788039
2008-07-23,301978
2009-07-08,84268
2009-02-20,46321
2008-08-12,228690
2011-09-02,229780
2011-11-14,195508
2010-10-15,387236
2011-07-05,91345
2013-05-03,222698
2009-12-10,248504
2012-11-10,528523
2013-03-05,368659
2013-06-28,497892
2010-01-12,88090
2010-12-05,282746
2009-01-21,217133
2008-11-29,529485
2012-03-29,983447
2012-11-16,198384
2010-04-30,103928
2009-05-06,258490
2011-01-16,651598
2008-10-28,136343
2008-11-12,1284435
2009-08-13,1037086
2008-12-05,776175
2013-07-16,890815
2008-11-26,62075
2012-09-29,624909
2013-07-08,1988211
2010-05-09,256159
2009-09-03,312797
2010-05-24,681816
2009-03-27,2674995
2010-09-29,166844
2012-07-20,190139
2008-08-05,390545
2013-02-06,165352
2009-02-25,283841
2010-06-07,58609
2013-07-07,271639
2012-01-24,856520
2010-04-06,204068
2009-10-27,341889
2013-01-07,2210317
2013-02-04,1229983
2008-07-18,94431
2009-06-29,519642
2009-11-04,373991
2010-03-23,498405
2008-08-26,633640
2012-02-03,3410444
2013-06-20,7648830
2009-05-27,869153
2009-08-22,143135
2009-04-01,216713
2011-09-22,5376973
2010-02-24,914763
2009-08-13,39284
2013-03-04,198016
2012-03-19,93603
2013-03-05,142829
2008-11-07,314613
2009-01-21,125016
2011-08-28,98298
2008-09-14,55906
2011-11-15,483594
2008-11-07,155275
2009-04-24,180457
2010-04-30,249907
2012-03-27,576897
2012-06-09,138343
2008-10-04,1936614
2012-12-07,261355
2012-12-14,1518367
2008-10-13,171507
2008-09-07,96971
2010-04-06,522764
2013-01-02,493020
2013-02-15,327386
2013-07-17,1384191
2013-03-05,62684
2008-11-03,176483
2010-02-05,404244
2009-09-02,157153
2010-01-02,292358
2010-04-16,253241
2010-02-05,153402
2009-07-29,272098
2013-07-08,110672
2010-01-22,111381
2008-09-21,177617
2010-11-01,498019
2009-01-05,93494
